query_id,rank,statute_id,title_list,section_list,heading_list,content_list,distance_list,relevance,rhwc
2,2,253,Landlord and Tenant Act 1985,s.11(1),Repairing obligations in short leases,"(1)In a lease to which this section applies (as to which, see sections 13 and 14) there is implied a covenant by the lessorÃ¢Â€Â”  (a)to keep in repair the structure and exterior of the dwelling-house (including drains, gutters and external pipes),  (b)to keep in repair and proper working order the installations in the dwelling-house for the supply of water, gas and electricity and for sanitation (including basins, sinks, baths and sanitary conveniences, but not other fixtures, fittings and appliances for making use of the supply of water, gas or electricity), and  (c)to keep in repair and proper working order the installations in the dwelling-house for space heating and heating water.",0.328822404,VR,
2,3,801,Defective Premises Act 1972,s.4(1),Landlord's duty of care in virtue of obligation or right to repair premises demised,"Where premises are let under a tenancy which puts on the landlord an obligation to the tenant for the maintenance or repair of the premises, the landlord owes to all persons who might reasonably be expected to be affected by defects in the state of the premises a duty to take such care as is reasonable in all the circumstances to see that they are reasonably safe from personal injury or from damage to their property caused by a relevant defect.",0.334117204,VR,
2,4,802,Defective Premises Act 1972,s.4(2),Landlord's duty of care in virtue of obligation or right to repair premises demised,The said duty is owed if the landlord knows (whether as the result of being notified by the tenant or otherwise) or if he ought in all the circumstances to have known of the relevant defect.,0.340501666,MR,
2,5,818,Building Safety Act 2022,s.123(2)(b),Remediation orders,"A ""remediation order"" may require a relevant landlord to take specified relevant steps in relation to a specified relevant defect in a specified relevant building by a specified time.",0.340865403,MR,
2,6,267,Landlord and Tenant Act 1985,s.13(1),Leases to which s.11 applies: general rule,"Section 11 (repairing obligations) applies to a lease of a dwelling-house granted on or after 24th October 1961 for a term of less than seven years.  But in the case of a dwelling-house in Wales, section 11 does not apply if the dwelling-house is subject to an occupation contract (for provisions about repairing obligations in the case of occupation contracts, see Part 4 of the Renting Homes (Wales) Act 2016 (anaw 1)).  In this section, Ã¢Â€Âœoccupation contractÃ¢Â€Â has the same meaning as in the Renting Homes (Wales) Act 2016 (see section 7 of that Act).",0.351784468,NR,
2,7,411,"Anti-social Behaviour, Crime and Policing Act 2014",s.47(2),Remedial action by local authority,"The relevant local authority may have work carried out to ensure that the failure is remedied, but only on land that is open to the air.",0.353438079,MR,
2,8,1052,Rent Act 1977,s.3(2),Terms and conditions of statutory tenancies,(2) It shall be a condition of a statutory tenancy of a dwelling-house that the statutory tenant shall afford to the landlord access to the dwelling-house and all reasonable facilities for executing therein any repairs which the landlord is entitled to execute.,0.358988732,SR,
2,9,257,Landlord and Tenant Act 1985,s.11(3),Repairing obligations in short leases,"In determining the standard of repair required by the lessorÃ¢Â€Â™s repairing covenant, regard shall be had to the age, character and prospective life of the dwelling-house and the locality in which it is situated.",0.361316681,MR,
2,10,247,Landlord and Tenant Act 1985,s.10(1),Fitness for human habitation,"In determining for the purposes of this Act whether a house [F2or dwelling] is unfit for human habitation, regard shall be had to its condition in respect of the following mattersÃ¢Â€Â”  repair, stability, freedom from damp, internal arrangement, natural lighting, ventilation, water supply, drainage and sanitary conveniences, facilities for preparation and cooking of food and for the disposal of waste water; in relation to a dwelling in England, any prescribed hazard; and the house dwelling shall be regarded as unfit for human habitation if, and only if, it is so far defective in one or more of those matters that it is not reasonably suitable for occupation in that condition. ",0.368766129,MR,
3,1,253,Landlord and Tenant Act 1985,s.11(1),Repairing obligations in short leases,"(1)In a lease to which this section applies (as to which, see sections 13 and 14) there is implied a covenant by the lessorÃ¢Â€Â”  (a)to keep in repair the structure and exterior of the dwelling-house (including drains, gutters and external pipes),  (b)to keep in repair and proper working order the installations in the dwelling-house for the supply of water, gas and electricity and for sanitation (including basins, sinks, baths and sanitary conveniences, but not other fixtures, fittings and appliances for making use of the supply of water, gas or electricity), and  (c)to keep in repair and proper working order the installations in the dwelling-house for space heating and heating water.",0.399028629,VR,
3,2,411,"Anti-social Behaviour, Crime and Policing Act 2014",s.47(2),Remedial action by local authority,"The relevant local authority may have work carried out to ensure that the failure is remedied, but only on land that is open to the air.",0.411215514,NR,
3,3,802,Defective Premises Act 1972,s.4(2),Landlord's duty of care in virtue of obligation or right to repair premises demised,The said duty is owed if the landlord knows (whether as the result of being notified by the tenant or otherwise) or if he ought in all the circumstances to have known of the relevant defect.,0.423030049,MR,
3,4,1141,Rent Act 1977,s.70(3)(a),Determination of fair rent,(3)(a) any disrepair or other defect attributable to a failure by the tenant to comply with any terms thereof;,0.4375844,NR,
3,5,818,Building Safety Act 2022,s.123(2)(b),Remediation orders,"A ""remediation order"" may require a relevant landlord to take specified relevant steps in relation to a specified relevant defect in a specified relevant building by a specified time.",0.439624131,SR,
3,6,255,Landlord and Tenant Act 1985,s.11(1)(b),Repairing obligations in short leases,"Nothing in subsection (1A) shall be construed as requiring the lessor to carry out any works or repairs unless the disrepair (or failure to maintain in working order) is such as to affect the lesseeÃ¢Â€Â™s enjoyment of the dwelling-house or of any common parts, as defined in section 60(1) of the Landlord and Tenant Act M11987, which the lessee, as such, is entitled to use.",0.447327048,SR,
3,7,799,Landlord and Tenant Act 1985,s.11(1)(a),Repairing obligations in short leases,"In a lease to which this section applies there is implied a covenant by the lessor to keep in repair the structure and exterior of the dwelling-house (including drains, gutters and external pipes).",0.449442476,SR,
3,8,480,Housing Act 1985,s.85ZA(3),Review of decision to seek possession on absolute ground for anti-social behaviour,"On a request being duly made to it, the landlord must review its decision.",0.451599181,NR,
3,9,801,Defective Premises Act 1972,s.4(1),Landlord's duty of care in virtue of obligation or right to repair premises demised,"Where premises are let under a tenancy which puts on the landlord an obligation to the tenant for the maintenance or repair of the premises, the landlord owes to all persons who might reasonably be expected to be affected by defects in the state of the premises a duty to take such care as is reasonable in all the circumstances to see that they are reasonably safe from personal injury or from damage to their property caused by a relevant defect.",0.451849878,MR,
3,10,1052,Rent Act 1977,s.3(2),Terms and conditions of statutory tenancies,(2) It shall be a condition of a statutory tenancy of a dwelling-house that the statutory tenant shall afford to the landlord access to the dwelling-house and all reasonable facilities for executing therein any repairs which the landlord is entitled to execute.,0.452395171,NR,
4,1,261,Landlord and Tenant Act 1985,s.11(6),Repairing obligations in short leases,"In a lease in which the lessorÃ¢Â€Â™s repairing covenant is implied there is also implied a covenant by the lessee that the lessor, or any person authorised by him in writing, may at reasonable times of the day and on giving 24 hoursÃ¢Â€Â™ notice in writing to the occupier, enter the premises comprised in the lease for the purpose of viewing their condition and state of repair.",0.294,VR,
4,2,319,Housing and Regeneration Act 2008,s.199a(1),Survey: power to enter without warrant,"An authorised person may enter premises at any reasonable time, or times, to carry out a survey under section 199.",0.29404673,VR,
4,3,331,Housing and Regeneration Act 2008,s.199b(3),Survey: power to enter with warrant,"A warrant under this section authorises the authorised person to enter the premises at any reasonable time, or times, using reasonable force if necessary.",0.302316129,MR,
4,4,414,"Anti-social Behaviour, Crime and Policing Act 2014",s.47(5),Remedial action by local authority,"A person authorised by a local authority to carry out work under this section may enter any premises to the extent reasonably necessary for that purpose, except that a person who is only authorised to carry out work under subsection (2) may only enter land that is open to the air.",0.303361416,MR,
4,5,238,Housing Act 1996,s.212(1),Protection of property: supplementary provisions,"The authority may for the purposes of section 211 (protection of property of homeless persons or persons threatened with homelessness)Ã¢Â€Â”  (a) enter, at all reasonable times, any premises which are the usual place of residence of the applicant or which were his last usual place of residence, and  (b) deal with any personal property of his in any way which is reasonably necessary, in particular by storing it or arranging for its storage.",0.330271155,NR,
4,6,478,Housing Act 1985,s.85ZA(1),Review of decision to seek possession on absolute ground for anti-social behaviour,"A tenant may request a review of a landlord's decision to seek an order for possession of a dwelling-house under section 84A if the interest of the landlord belongs toÃ¢Â€Â” (a) a local housing authority, or (b) a housing action trust.",0.331586182,NR,
4,7,951,Housing Act 1985,s.93(1),Lodgers and subletting,"It is a term of every secure tenancy that the tenantÃ¢Â€Â” (a) may allow any persons to reside as lodgers in the dwellingÃ¢Â€Â‘house, but (b) will not, without the written consent of the landlord, sublet or part with possession of part of the dwellingÃ¢Â€Â‘house.",0.333857626,NR,
4,8,324,Housing and Regeneration Act 2008,s.199a(6),Survey: power to enter without warrant,"An authorised person who under this section has entered, or who is seeking to enter, premises in order to carry out a survey must produce a copy of the authorisation mentioned in section 199(3) on request by an occupier.",0.341499269,MR,
4,9,325,Housing and Regeneration Act 2008,s.199a(7),Survey: power to enter without warrant,"An authorised person entering premises to carry out a survey mayÃ¢Â€Â”  (a)be accompanied by such other persons, and  (b)take onto the premises such equipment or materials,  as the authorised person thinks necessary for the purposes of carrying out the survey.",0.34389326,MR,
4,10,480,Housing Act 1985,s.85ZA(3),Review of decision to seek possession on absolute ground for anti-social behaviour,"On a request being duly made to it, the landlord must review its decision.",0.343978167,NR,
5,1,247,Landlord and Tenant Act 1985,s.10(1),Fitness for human habitation,"In determining for the purposes of this Act whether a house [F2or dwelling] is unfit for human habitation, regard shall be had to its condition in respect of the following mattersÃ¢Â€Â”  repair, stability, freedom from damp, internal arrangement, natural lighting, ventilation, water supply, drainage and sanitary conveniences, facilities for preparation and cooking of food and for the disposal of waste water; in relation to a dwelling in England, any prescribed hazard; and the house dwelling shall be regarded as unfit for human habitation if, and only if, it is so far defective in one or more of those matters that it is not reasonably suitable for occupation in that condition. ",0.283514559,VR,
5,2,784,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(15),"Domestic hygiene, pests and refuse","(1) Poor design, layout or construction such that the dwelling or HMO cannot readily be kept clean. (2) Exposure to pests. (3) An inadequate provision for the hygienic storage and disposal of household waste.",0.334044993,MR,
5,3,780,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(11),Crowding and space,11. A lack of adequate space for living and sleeping.,0.345658779,MR,
5,4,7,Housing Act 1996,s.177(1),Whether it is reasonable to continue to occupy accommodation,"It is not reasonable for a person to continue to occupy accommodation if it is probably that this will lead to violence or domestic abuse against him, or against a person who normally resides with him as a member of his family, or any other person who might reasonably be expected to reside with him.",0.362945616,NR,
5,5,2,Housing Act 1996,s.175(2),Homelessness and threatened homelessness,"A person is also homeless if he has accommodation but he cannot secure entry to it or it consists of a moveable structure, vehicle or vessel designed or adapted for human habitation and there is no place where he is entitled or permitted both to place it and to reside in it.",0.363505363,NR,
5,6,762,Landlord and Tenant Act 1985,s.9A(1)(a),Fitness for human habitation of dwellings in England,"In a lease to which this section applies of a dwelling in England, there is implied a covenant by the lessor that the dwelling is fit for human habitation at the time the lease is granted or otherwise created or, if later, at the beginning of the term of the lease.",0.366075695,VR,
5,7,763,Landlord and Tenant Act 1985,s.9A(1)(b),Fitness for human habitation of dwellings in England,Ã¢Â€Â¦and will remain fit for human habitation during the term of the lease.,0.373683482,VR,
5,8,315,Social Housing (Regulation) Act 2023,n.42.1,Awaab's Law Note,"Awaab's Law, introduced in the Social Housing (Regulation) Act 2023, introduced Section 10A of the Landlord and Tenant Act 1985. It also added a definition of 'fit for human habitation'.",0.387803733,VR,
5,9,1,Housing Act 1996,s.175(1),Homelessness and threatened homelessness,"A person is homeless if he has no accommodation available for his occupation, in the United Kingdom or elsewhere, which he is entitled to occupy by virtue of an interest in it or by virtue of an order of a court, has an expressed or implied licence to occupy, or occupies as a residence by virtue of any enactment or rule of law giving him the right to remain in occupation or restricting the right of another person to recover possession.",0.39087674,NR,
5,10,95,Housing Act 1996,s.191(1),Becoming homeless intentionally,A person becomes homeless intentionally if he deliberately does or fails to do anything in consequence of which he ceases to occupy accommodation which is available for his occupation and which it would have been reasonable for him to continue to occupy.,0.396146029,NR,
6,1,613,Housing Act 1988,s.14(3),Determination of rent by tribunal,"For the purposes of subsection (2)(b) above, in relation to a notice which is referred by a tenant as mentioned in subsection (1) above, an improvement is a relevant improvement if either it was carried out during the tenancy to which the notice relates or the following conditions are satisfied, namelyÃ¢Â€Â” (a) that it was carried out not more than twenty-one years before the date of service of the notice; and (b) that, at all times during the period beginning when the improvement was carried out and ending on the date of service of the notice, the dwelling-house has been let under an assured tenancy; and (c) that, on the coming to an end of an assured tenancy at any time during that period, the tenant (or, in the case of joint tenants, at least one of them) did not quit.",0.266597837,MR,
6,2,730,Housing Act 2004,s.15(2),Operation of improvement notices,The general rule is that an improvement notice becomes operative at the end of the period of 21 days beginning with the day on which it is served under Part 1 of Schedule 1 (which is the period for appealing against the notice under Part 3 of that Schedule).,0.27867499,VR,
6,3,729,Housing Act 2004,s.15(1),Operation of improvement notices,This section deals with the time when an improvement notice becomes operative.,0.286771953,MR,x
6,4,1000,Housing Act 1985,s.125(4),LandlordÃ¢Â€Â™s notice of purchase price and other matters,"Where the notice states provisions which would enable the landlord to recover from the tenantÃ¢Â€Â” (a) service charges, or (b) improvement contributions, the notice shall also contain the estimates and other information required by section 125A (service charges) or 125B (improvement contributions).",0.302955896,SR,
6,5,565,Housing Act 1988,s.8(3),Notice of proceedings for possession,A notice under this section is one in the prescribed form informing the tenant thatÃ¢Â€Â” (a) the landlord intends to begin proceedings for possession of the dwelling-house on one or more of the grounds specified in the notice; and (b) those proceedings will not begin earlier than a date specified in the notice in accordance with subsections (3A) to (4B) below; and (c) those proceedings will not begin later than twelve months from the date of service of the notice.,0.310170889,NR,
6,6,604,Housing Act 1988,s.13(2),Increases of rent under assured periodic tenancies,"For the purpose of securing an increase in the rent under a tenancy to which this section applies, the landlord may serve on the tenant a notice in the prescribed form proposing a new rent to take effect at the beginning of a new period of the tenancy specified in the notice, being a period beginning not earlier thanÃ¢Â€Â” (a) the minimum period after the date of the service of the notice; and (b) except in the case of a statutory periodic tenancyÃ¢Â€Â”    (i) in the case of an assured agricultural occupancy, the first anniversary of the date on which the first period of the tenancy began; or    (ii) in any other case, on the date that falls 52 weeks after the date on which the first period of the tenancy began.",0.311421454,NR,
6,7,535,Housing Act 1988,s.6(2),Fixing of terms of statutory periodic tenancy,"Not later than the first anniversary of the day on which the former tenancy came to an end, the landlord may serve on the tenant, or the tenant may serve on the landlord, a notice in the prescribed form proposing terms of the statutory periodic tenancy different from the implied terms and, if the landlord or the tenant considers it appropriate, proposing an adjustment of the amount of the rent to take account of the proposed terms.",0.316479236,NR,
6,8,848,Housing Act 1985,s.25(4),Increase of rent where tenancy not secure,"Where the notice is given for the beginning of a rental period and the tenancy continues into that period, the notice shall not have effect ifÃ¢Â€Â”  (a) the tenancy is terminated by notice to quit given by the tenant in accordance with the provisions (express or implied) of the tenancy, (b) the notice to quit is given before the end of the period of two weeks following the date on which the notice of increase is given, or such longer period as may be allowed by the notice of increase, and (c) the date on which the tenancy is made to terminate is not later than the earliest day on which the tenancy could be terminated by a notice to quit given by the tenant on the last day of that period.",0.325688154,NR,
6,9,571,Housing Act 1988,s.8(4D),Notice of proceedings for possession,"Where the landlord proposes to rely on conditionÃ‚Â 1,Ã‚Â 3 orÃ‚Â 5 in GroundÃ‚Â 7A, the notice must be served on the tenant withinÃ¢Â€Â” (a) the period of 12Ã‚Â months beginning with the day of the conviction, or (b) if there is an appeal against the conviction, the period ofÃ‚Â 12Ã‚Â months beginning with the day on which the appeal is finally determined or abandoned.",0.325708777,NR,
6,10,572,Housing Act 1988,s.8(4E),Notice of proceedings for possession,"Where the landlord proposes to rely on conditionÃ‚Â 2 in GroundÃ‚Â 7A, the notice must be served on the tenant withinÃ¢Â€Â” (a) the period ofÃ‚Â 12Ã‚Â months beginning with the day on which the court has made the finding, or (b) if there is an appeal against the finding, the period ofÃ‚Â 12Ã‚Â months beginning with the day on which the appeal is finally determined, abandoned or withdrawn.",0.327019334,NR,
7,1,386,"Anti-social Behaviour, Crime and Policing Act 2014",s.13(1),Power to exclude person from home in cases of violence or risk of harm,"An injunction under section 1 may have the effect of excluding the respondent from the place where he or she normally lives (Ã¢Â€Âœthe premisesÃ¢Â€Â) only ifÃ¢Â€Â”(a) the respondent is aged 18 or over, (b) the injunction is granted on the application ofÃ¢Â€Â”(i) a local authority, (ii) the chief officer of police for the police area that the premises are in, or (iii) if the premises are owned or managed by a housing provider, that housing provider, and (c) the court thinks thatÃ¢Â€Â”(i) the anti-social behaviour in which the respondent has engaged or threatens to engage consists of or includes the use or threatened use of violence against other persons, or (ii) there is a significant risk of harm to other persons from the respondent.",0.31755653,VR,
7,2,358,"Anti-social Behaviour, Crime and Policing Act 2014",s.4(1),Power of Arrest,"A court granting an injunction under section 1 may attach a power of arrest to a prohibition or requirement of the injunction if the court thinks thatÃ¢Â€Â”  (a)the anti-social behaviour in which the respondent has engaged or threatens to engage consists of or includes the use or threatened use of violence against other persons, or  (b)there is a significant risk of harm to other persons from the respondent.  Ã¢Â€ÂœRequirementÃ¢Â€Â here does not include one that has the effect of requiring the respondent to participate in particular activities.",0.355685949,VR,
7,3,457,Housing Act 1985,s.84A(4),Absolute ground for possession for anti-social behaviour,"Condition 2 is that a court has found in relevant proceedings that the tenant, or a person residing in or visiting the dwelling-house, has breached a provision of an injunction under sectionÃ‚Â 1 of the Anti-social Behaviour, Crime and Policing ActÃ‚Â 2014, other than a provision requiring a person to participate in a particular activity, andÃ¢Â€Â” (a) the breach occurred in, or in the locality of, the dwelling-house, or (b) the breach occurred elsewhere and the provision breached was a provision intended to preventÃ¢Â€Â”     (i) conduct that is capable of causing nuisance or annoyance to a person with a right (of whatever description) to reside in, or occupy housing accommodation in the locality of, the dwelling-house, or     (ii) conduct that is capable of causing nuisance or annoyance to the landlord of the dwelling-house, or a person employed (whether or not by the landlord) in connection with the exercise of the landlord's housing management functions, and that is directly or indirectly related to or affects those functions.",0.359254181,MR,
7,4,344,"Anti-social Behaviour, Crime and Policing Act 2014",s.1(4),Power to grant injunctions,An injunction under this section may for the purpose of preventing the respondent from engaging in anti-social behaviourÃ¢Â€Â”  (a)prohibit the respondent from doing anything described in the injunction;  (b)require the respondent to do anything described in the injunction.,0.360117942,VR,
7,5,343,"Anti-social Behaviour, Crime and Policing Act 2014",s.1(3),Power to grant injunctions,The second condition is that the court considers it just and convenient to grant the injunction for the purpose of preventing the respondent from engaging in anti-social behaviour.,0.361249119,VR,
7,6,341,"Anti-social Behaviour, Crime and Policing Act 2014",s.1(1),Power to grant injunctions,A court may grant an injunction under this section against a person aged 10 or over (Ã¢Â€Âœthe respondentÃ¢Â€Â) if two conditions are met.,0.370125473,VR,
7,7,373,"Anti-social Behaviour, Crime and Policing Act 2014",s.9(2),Arrest without warrant,A constable who arrests a person under subsection (1) must inform the person who applied for the injunction.,0.379685551,VR,
7,8,378,"Anti-social Behaviour, Crime and Policing Act 2014",s.10(1),Issue of arrest warrant,"If the person who applied for an injunction under section 1 thinks that the respondent is in breach of any of its provisions, the person may apply for the issue of a warrant for the respondent's arrest.",0.38104102,VR,
7,9,7,Housing Act 1996,s.177(1),Whether it is reasonable to continue to occupy accommodation,"It is not reasonable for a person to continue to occupy accommodation if it is probably that this will lead to violence or domestic abuse against him, or against a person who normally resides with him as a member of his family, or any other person who might reasonably be expected to reside with him.",0.382245064,SR,
7,10,396,"Anti-social Behaviour, Crime and Policing Act 2014",s.43(6),Power to issue notices,A person issuing a community protection notice must before doing so inform any body or individual the person thinks appropriate.,0.383065253,NR,
8,1,456,Housing Act 1985,s.84A(3),Absolute ground for possession for anti-social behaviour,"Condition 1 is thatÃ¢Â€Â” (a) the tenant, or a person residing in or visiting the dwelling-house, has been convicted of a serious offence, and (b) the serious offenceÃ¢Â€Â”     (i) was committed (wholly or partly) in, or in the locality of, the dwelling-house,     (ii) was committed elsewhere against a person with a right (of whatever description) to reside in, or occupy housing accommodation in the locality of, the dwelling-house, or     (iii) was committed elsewhere against the landlord of the dwelling-house, or a person employed (whether or not by the landlord) in connection with the exercise of the landlord's housing management functions, and directly or indirectly related to or affected those functions.",0.246555209,VR,
8,2,458,Housing Act 1985,s.84A(5),Absolute ground for possession for anti-social behaviour,"Condition 3 is that the tenant, or a person residing in or visiting the dwelling-house, has been convicted of an offence under section 30 of the Anti-social Behaviour, Crime and Policing Act 2014 consisting of a breach of a provision of a criminal behaviour order prohibiting a person from doing anything described in the order, and the offence involvedÃ¢Â€Â” (a) a breach that occurred in, or in the locality of, the dwelling-house, or (b) a breach that occurred elsewhere of a provision intended to preventÃ¢Â€Â”     (i) behaviour that causes or is likely to cause harassment, alarm or distress to a person with a right (of whatever description) to reside in, or occupy housing accommodation in the locality of, the dwelling-house, or     (ii) behaviour that causes or is likely to cause harassment, alarm or distress to the landlord of the dwelling-house, or a person employed (whether or not by the landlord) in connection with the exercise of the landlord's housing management functions, and that is directly or indirectly related to or affects those functions.",0.290149659,VR,
8,3,471,Housing Act 1985,s.83ZA(5),Notice requirements in relation to proceedings for possession on absolute ground for anti-social behaviour,"A notice which states that the landlord proposes to rely upon conditionÃ‚Â 1,Ã‚Â 3 orÃ‚Â 5 in sectionÃ‚Â 84AÃ¢Â€Â” (a) must also state the conviction on which the landlord proposes to rely, and (b) must be served on the tenant withinÃ¢Â€Â”     (i) the period of 12Ã‚Â months beginning with the day of the conviction, or     (ii) if there is an appeal against the conviction, the period of 12Ã‚Â months beginning with the day on which the appeal is finally determined or abandoned.",0.29557386,VR,
8,4,497,Housing Act 1985,g.2ZA,Offences connected with riot,"The tenant or an adult residing in the dwelling-house has been convicted of an indictable offence which took place during, and at the scene of, a riot in the United Kingdom.  In this GroundÃ¢Â€Â” Ã¢Â€ÂœadultÃ¢Â€Â means a person aged 18 or over; Ã¢Â€Âœindictable offenceÃ¢Â€Â does not include an offence that is triable only summarily by virtue of section 22 of the Magistrates' Courts Act 1980 (either-way offences where value involved is small); Ã¢Â€ÂœriotÃ¢Â€Â is to be construed in accordance with section 1 of the Public Order Act 1986.  This Ground applies only in relation to dwelling-houses in England.",0.303966194,NR,
8,5,571,Housing Act 1988,s.8(4D),Notice of proceedings for possession,"Where the landlord proposes to rely on conditionÃ‚Â 1,Ã‚Â 3 orÃ‚Â 5 in GroundÃ‚Â 7A, the notice must be served on the tenant withinÃ¢Â€Â” (a) the period of 12Ã‚Â months beginning with the day of the conviction, or (b) if there is an appeal against the conviction, the period ofÃ‚Â 12Ã‚Â months beginning with the day on which the appeal is finally determined or abandoned.",0.309535027,MR,
8,6,457,Housing Act 1985,s.84A(4),Absolute ground for possession for anti-social behaviour,"Condition 2 is that a court has found in relevant proceedings that the tenant, or a person residing in or visiting the dwelling-house, has breached a provision of an injunction under sectionÃ‚Â 1 of the Anti-social Behaviour, Crime and Policing ActÃ‚Â 2014, other than a provision requiring a person to participate in a particular activity, andÃ¢Â€Â” (a) the breach occurred in, or in the locality of, the dwelling-house, or (b) the breach occurred elsewhere and the provision breached was a provision intended to preventÃ¢Â€Â”     (i) conduct that is capable of causing nuisance or annoyance to a person with a right (of whatever description) to reside in, or occupy housing accommodation in the locality of, the dwelling-house, or     (ii) conduct that is capable of causing nuisance or annoyance to the landlord of the dwelling-house, or a person employed (whether or not by the landlord) in connection with the exercise of the landlord's housing management functions, and that is directly or indirectly related to or affects those functions.",0.323265553,NR,
8,7,866,Housing Act 1985,s.82A(4),Demotion because of anti-social behaviour,"The court must not make a demotion order unless it is satisfiedÃ¢Â€Â”  (a) that the tenant or a person residing in or visiting the dwellingÃ¢Â€Â‘house has engaged or has threatened to engage inÃ¢Â€Â”    (i) conduct that is capable of causing nuisance or annoyance to some person (who need not be a particular identified person) and that directly or indirectly relates to or affects the landlordÃ¢Â€Â™s housing management functions, or    (ii) conduct that consists of or involves using housing accommodation owned or managed by the landlord for an unlawful purpose, and (b) that it is reasonable to make the order.",0.3299734,SR,
8,8,969,Housing Act 1985,s.121A(3),Order suspending right to buy because of anti-social behaviour,"The court must not make a suspension order unless it is satisfiedÃ¢Â€Â” (a) that the tenant, or a person residing in or visiting the dwelling-house, has engaged or threatened to engage inÃ¢Â€Â”    (i) conduct capable of causing nuisance or annoyance and directly or indirectly related to the landlord's housing management functions, or    (ii) conduct involving using the accommodation for an unlawful purpose, and (b) that it is reasonable to make the order.",0.334257513,NR,
8,9,7,Housing Act 1996,s.177(1),Whether it is reasonable to continue to occupy accommodation,"It is not reasonable for a person to continue to occupy accommodation if it is probably that this will lead to violence or domestic abuse against him, or against a person who normally resides with him as a member of his family, or any other person who might reasonably be expected to reside with him.",0.334692121,NR,
8,10,478,Housing Act 1985,s.85ZA(1),Review of decision to seek possession on absolute ground for anti-social behaviour,"A tenant may request a review of a landlord's decision to seek an order for possession of a dwelling-house under section 84A if the interest of the landlord belongs toÃ¢Â€Â” (a) a local housing authority, or (b) a housing action trust.",0.341214538,NR,
