id,title,section,heading,content,url,type,category
284,Equality Act 2010,s.21(3),Failure To Comply With Duty,"A provision of an applicable Schedule which imposes a duty to comply with the first, second or third requirement applies only for the purpose of establishing whether A has contravened this Act by virtue of subsection (2); a failure to comply is, accordingly, not actionable by virtue of another provision of this Act or otherwise.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/10,statute,Accessibility and Discrimination
285,Equality Act 2010,s.22(1),Regulations,"Regulations may prescribeâ  (a) matters to be taken into account in deciding whether it is reasonable for A to take a step for the purposes of a prescribed provision of an applicable Schedule;  (b) descriptions of persons to whom the first, second or third requirement does not apply.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/11,statute,Accessibility and Discrimination
286,Equality Act 2010,s.22(2),Regulations,"Regulations may make provision as toâ  (a)circumstances in which it is, or in which it is not, reasonable for a person of a prescribed description to have to take steps of a prescribed description;  (b)what is, or what is not, a provision, criterion or practice;  (c)things which are, or which are not, to be treated as physical features;  (d)things which are, or which are not, to be treated as alterations of physical features;  (e)things which are, or which are not, to be treated as auxiliary aids.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/12,statute,Accessibility and Discrimination
287,Equality Act 2010,s.26(1),Harassment,"A person (A) harasses another (B) ifâ  (a) A engages in unwanted conduct related to a relevant protected characteristic, and  (b) the conduct has the purpose or effect ofâ  (i) violating B's dignity, or  (ii) creating an intimidating, hostile, degrading, humiliating or offensive environment for B.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/13,statute,Accessibility and Discrimination
288,Equality Act 2010,s.26(2),Harassment,"A also harasses B ifâ  (a)A engages in unwanted conduct of a sexual nature, and  (b)the conduct has the purpose or effect referred to in subsection (1)(b).",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/14,statute,Accessibility and Discrimination
289,Equality Act 2010,s.26(3),Harassment,"A also harasses B ifâ  (a)A or another person engages in unwanted conduct of a sexual nature or that is related to gender reassignment or sex,  (b)the conduct has the purpose or effect referred to in subsection (1)(b), and  (c)because of B's rejection of or submission to the conduct, A treats B less favourably than A would treat B if B had not rejected or submitted to the conduct.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/15,statute,Accessibility and Discrimination
290,Equality Act 2010,s.26(4),Harassment,"In deciding whether conduct has the effect referred to in subsection (1)(b), each of the following must be taken into accountâ  (a)the perception of B;  (b)the other circumstances of the case;  (c)whether it is reasonable for the conduct to have that effect.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/16,statute,Accessibility and Discrimination
291,Equality Act 2010,s.26(5),Harassment,The relevant protected characteristics areâ  age; disability; gender reassignment; race; religion or belief; sex; sexual orientation.,https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/17,statute,Accessibility and Discrimination
292,Equality Act 2010,s.27(1),Victimisation,"A person (A) victimises another person (B) if A subjects B to a detriment becauseâ  (a)B does a protected act, or  (b)A believes that B has done, or may do, a protected act.  ",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/18,statute,Accessibility and Discrimination
293,Equality Act 2010,s.27(2),Victimisation,Each of the following is a protected actâ  (a)bringing proceedings under this Act;  (b)giving evidence or information in connection with proceedings under this Act;  (c)doing any other thing for the purposes of or in connection with this Act;  (d)making an allegation (whether or not express) that A or another person has contravened this Act.,https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/19,statute,Accessibility and Discrimination
294,Equality Act 2010,s.27(3),Victimisation,"Giving false evidence or information, or making a false allegation, is not a protected act if the evidence or information is given, or the allegation is made, in bad faith.",https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/20,statute,Accessibility and Discrimination
295,Equality Act 2010,s.27(4),Victimisation,This section applies only where the person subjected to a detriment is an individual.,https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/21,statute,Accessibility and Discrimination
296,Equality Act 2010,s.27(5),Victimisation,The reference to contravening this Act includes a reference to committing a breach of an equality clause or rule.,https://www.legislation.gov.uk/ukpga/2010/15/part/2/chapter/22,statute,Accessibility and Discrimination
297,Equality Act 2010,s.33(1),"Disposals, etc.",A person (A) who has the right to dispose of premises must not discriminate against another (B)â  (a)as to the terms on which A offers to dispose of the premises to B;  (b)by not disposing of the premises to B;  (c)in A's treatment of B with respect to things done in relation to persons seeking premises.,https://www.legislation.gov.uk/ukpga/2010/15/section/33,statute,Accessibility and Discrimination
298,Equality Act 2010,s.33(2),"Disposals, etc.","Where an interest in a commonhold unit cannot be disposed of unless a particular person is a party to the disposal, that person must not discriminate against a person by not being a party to the disposal.",https://www.legislation.gov.uk/ukpga/2010/15/section/34,statute,Accessibility and Discrimination
299,Equality Act 2010,s.33(3),"Disposals, etc.","A person who has the right to dispose of premises must not, in connection with anything done in relation to their occupation or disposal, harassâ  (a)a person who occupies them;  (b)a person who applies for them.",https://www.legislation.gov.uk/ukpga/2010/15/section/35,statute,Accessibility and Discrimination
300,Equality Act 2010,s.33(4),"Disposals, etc.",A person (A) who has the right to dispose of premises must not victimise another (B)â  (a)as to the terms on which A offers to dispose of the premises to B;  (b)by not disposing of the premises to B;  (c)in A's treatment of B with respect to things done in relation to persons seeking premises.,https://www.legislation.gov.uk/ukpga/2010/15/section/36,statute,Accessibility and Discrimination
301,Equality Act 2010,s.33(5),"Disposals, etc.","Where an interest in a commonhold unit cannot be disposed of unless a particular person is a party to the disposal, that person must not victimise a person by not being a party to the disposal.  ",https://www.legislation.gov.uk/ukpga/2010/15/section/37,statute,Accessibility and Discrimination
302,Equality Act 2010,s.33(6),"Disposals, etc.","In the application of section 26 for the purposes of subsection (3), neither of the following is a relevant protected characteristicâ  (a)religion or belief;  (b)sexual orientation.",https://www.legislation.gov.uk/ukpga/2010/15/section/38,statute,Accessibility and Discrimination
303,Equality Act 2010,n.34.1,Permission for Disposal,"If a person or body (such as a housing association) must give permission for someone to sublet, transfer or dispose of a home, they must not discriminate or retaliate against the person requesting that permission.",https://www.legislation.gov.uk/ukpga/2010/15/section/34,note,Accessibility and Discrimination
304,Equality Act 2010,s.35(1),Management,"A person (A) who manages premises must not discriminate against a person (B) who occupies the premisesâ  (a)in the way in which A allows B, or by not allowing B, to make use of a benefit or facility;  (b)by evicting B (or taking steps for the purpose of securing B's eviction);  (c)by subjecting B to any other detriment.",https://www.legislation.gov.uk/ukpga/2010/15/section/35,statute,Accessibility and Discrimination
305,Equality Act 2010,s.35(2),Management,"A person who manages premises must not, in relation to their management, harassâ  (a)a person who occupies them;  (b)a person who applies for them.",https://www.legislation.gov.uk/ukpga/2010/15/section/36,statute,Accessibility and Discrimination
306,Equality Act 2010,s.35(3),Management,"A person (A) who manages premises must not victimise a person (B) who occupies the premisesâ  (a)in the way in which A allows B, or by not allowing B, to make use of a benefit or facility;  (b)by evicting B (or taking steps for the purpose of securing B's eviction);  (c)by subjecting B to any other detriment.",https://www.legislation.gov.uk/ukpga/2010/15/section/37,statute,Accessibility and Discrimination
307,Equality Act 2010,s.36(1),Leasehold and commonhold premises and common parts,A duty to make reasonable adjustments applies toâ  (a)a controller of let premises;  (b)a controller of premises to let;  (c)a commonhold association;  (d)a responsible person in relation to common parts.,https://www.legislation.gov.uk/ukpga/2010/15/section/36,statute,Accessibility and Discrimination
308,Equality Act 2010,s.36(2),Leasehold and commonhold premises and common parts,"A controller of let premises isâ  (a)a person by whom premises are let, or  (b)a person who manages them.",https://www.legislation.gov.uk/ukpga/2010/15/section/37,statute,Accessibility and Discrimination
309,Equality Act 2010,s.36(3),Leasehold and commonhold premises and common parts,"A controller of premises to let isâ  (a)a person who has premises to let, or  (b)a person who manages them.",https://www.legislation.gov.uk/ukpga/2010/15/section/38,statute,Accessibility and Discrimination
310,Equality Act 2010,s.36(4),Leasehold and commonhold premises and common parts,The reference in subsection (1)(c) to a commonhold association is a reference to the association in its capacity as the person who manages a commonhold unit.,https://www.legislation.gov.uk/ukpga/2010/15/section/39,statute,Accessibility and Discrimination
311,Equality Act 2010,s.36(5),Leasehold and commonhold premises and common parts,"A responsible person in relation to common parts isâ  (a)where the premises to which the common parts relate are let (and are not part of commonhold land or in Scotland), a person by whom the premises are let;  (b)where the premises to which the common parts relate are part of commonhold land, the commonhold association.",https://www.legislation.gov.uk/ukpga/2010/15/section/40,statute,Accessibility and Discrimination
312,Equality Act 2010,s.36(6),Leasehold and commonhold premises and common parts,"(6)Common parts areâ  (a)in relation to let premises (which are not part of commonhold land or in Scotland), the structure and exterior of, and any common facilities within or used in connection with, the building or part of a building which includes the premises;  (b)in relation to commonhold land, every part of the commonhold which is not for the time being a commonhold unit in accordance with the commonhold community statement.",https://www.legislation.gov.uk/ukpga/2010/15/section/41,statute,Accessibility and Discrimination
313,Equality Act 2010,s.36(7),Leasehold and commonhold premises and common parts,"A reference to letting includes a reference to sub-letting; and for the purposes of subsection (1)(a) and (b), a reference to let premises includes premises subject to a right to occupy.",https://www.legislation.gov.uk/ukpga/2010/15/section/42,statute,Accessibility and Discrimination
314,Equality Act 2010,s.36(8),Leasehold and commonhold premises and common parts,This section does not apply to premises of such description as may be prescribed.,https://www.legislation.gov.uk/ukpga/2010/15/section/43,statute,Accessibility and Discrimination
341,"Anti-social Behaviour, Crime and Policing Act 2014",s.1(1),Power to grant injunctions,A court may grant an injunction under this section against a person aged 10 or over (âthe respondentâ) if two conditions are met.,,,Antisocial Behaviour and Neighbour Conflict
342,"Anti-social Behaviour, Crime and Policing Act 2014",s.1(2),Power to grant injunctions,"The first condition is that the court is satisfied, on the balance of probabilities, that the respondent has engaged or threatens to engage in anti-social behaviour.",,,Antisocial Behaviour and Neighbour Conflict
343,"Anti-social Behaviour, Crime and Policing Act 2014",s.1(3),Power to grant injunctions,The second condition is that the court considers it just and convenient to grant the injunction for the purpose of preventing the respondent from engaging in anti-social behaviour.,,,Antisocial Behaviour and Neighbour Conflict
344,"Anti-social Behaviour, Crime and Policing Act 2014",s.1(4),Power to grant injunctions,An injunction under this section may for the purpose of preventing the respondent from engaging in anti-social behaviourâ  (a)prohibit the respondent from doing anything described in the injunction;  (b)require the respondent to do anything described in the injunction.,,,Antisocial Behaviour and Neighbour Conflict
345,"Anti-social Behaviour, Crime and Policing Act 2014",s.1(5),Power to grant injunctions,"Prohibitions and requirements in an injunction under this section must, so far as practicable, be such as to avoidâ  (a)any interference with the times, if any, at which the respondent normally works or attends school or any other educational establishment;  (b)any conflict with the requirements of any other court order or injunction to which the respondent may be subject.",,,Antisocial Behaviour and Neighbour Conflict
346,"Anti-social Behaviour, Crime and Policing Act 2014",s.1(6),Power to grant injunctions,"An injunction under this section mustâ  (a)specify the period for which it has effect, or  (b)state that it has effect until further order.  In the case of an injunction granted before the respondent has reached the age of 18, a period must be specified and it must be no more than 12 months.",,,Antisocial Behaviour and Neighbour Conflict
348,"Anti-social Behaviour, Crime and Policing Act 2014",s.1(8),Power to grant injunctions,"An application for an injunction under this section must be made toâ  (a)a youth court, in the case of a respondent aged under 18;  (b)the High Court or the county court, in any other case.",,,Antisocial Behaviour and Neighbour Conflict
349,"Anti-social Behaviour, Crime and Policing Act 2014",s.2(1),Meaning of anti-social behaviour,"(1)In this Part âanti-social behaviourâ meansâ  (a)conduct that has caused, or is likely to cause, harassment, alarm or distress to any person,  (b)conduct capable of causing nuisance or annoyance to a person in relation to that person's occupation of residential premises, or  (c)conduct capable of causing housing-related nuisance or annoyance to any person.",,,Antisocial Behaviour and Neighbour Conflict
350,"Anti-social Behaviour, Crime and Policing Act 2014",s.2(2),Meaning of anti-social behaviour,"Subsection (1)(b) applies only where the injunction under section 1 is applied for byâ  (a)a housing provider,  (b)a local authority, or  (c)a chief officer of police.",,,Antisocial Behaviour and Neighbour Conflict
351,"Anti-social Behaviour, Crime and Policing Act 2014",s.2(3),Meaning of anti-social behaviour,"In subsection (1)(c) âhousing-relatedâ means directly or indirectly relating to the housing management functions ofâ  (a)a housing provider, or  (b)a local authority.",,,Antisocial Behaviour and Neighbour Conflict
352,"Anti-social Behaviour, Crime and Policing Act 2014",s.2(4),Meaning of anti-social behaviour,For the purposes of subsection (3) the housing management functions of a housing provider or a local authority includeâ  (a)functions conferred by or under an enactment;  (b)the powers and duties of the housing provider or local authority as the holder of an estate or interest in housing accommodation.,,,Antisocial Behaviour and Neighbour Conflict
353,"Anti-social Behaviour, Crime and Policing Act 2014",s.3(1),Requirements included in injunctions,An injunction that includes a requirement must specify the person who is to be responsible for supervising compliance with the requirement.  The person may be an individual or an organisation.,,,Antisocial Behaviour and Neighbour Conflict
354,"Anti-social Behaviour, Crime and Policing Act 2014",s.3(2),Requirements included in injunctions,"Before including a requirement, the court must receive evidence about its suitability and enforceability fromâ  (a)the individual to be specified under subsection (1), if an individual is to be specified;  (b)an individual representing the organisation to be specified under subsection (1), if an organisation is to be specified.",,,Antisocial Behaviour and Neighbour Conflict
355,"Anti-social Behaviour, Crime and Policing Act 2014",s.3(3),Requirements included in injunctions,"Before including two or more requirements, the court must consider their compatibility with each other.",,,Antisocial Behaviour and Neighbour Conflict
356,"Anti-social Behaviour, Crime and Policing Act 2014",s.3(4),Requirements included in injunctions,"It is the duty of a person specified under subsection (1)â  (a)to make any necessary arrangements in connection with the requirements for which the person has responsibility (the ârelevant requirementsâ);  (b)to promote the respondent's compliance with the relevant requirements;  (c)if the person considers that the respondentâ  (i)has complied with all the relevant requirements, or  (ii)has failed to comply with a relevant requirement,  to inform the person who applied for the injunction and the appropriate chief officer of police.",,,Antisocial Behaviour and Neighbour Conflict
357,"Anti-social Behaviour, Crime and Policing Act 2014",s.3(6),Requirements included in injunctions,"A respondent subject to a requirement included in an injunction under section 1 mustâ  (a)keep in touch with the person specified under subsection (1) in relation to that requirement, in accordance with any instructions given by that person from time to time;  (b)notify the person of any change of address.  These obligations have effect as requirements of the injunction.",,,Antisocial Behaviour and Neighbour Conflict
358,"Anti-social Behaviour, Crime and Policing Act 2014",s.4(1),Power of Arrest,"A court granting an injunction under section 1 may attach a power of arrest to a prohibition or requirement of the injunction if the court thinks thatâ  (a)the anti-social behaviour in which the respondent has engaged or threatens to engage consists of or includes the use or threatened use of violence against other persons, or  (b)there is a significant risk of harm to other persons from the respondent.  âRequirementâ here does not include one that has the effect of requiring the respondent to participate in particular activities.",,,Antisocial Behaviour and Neighbour Conflict
359,"Anti-social Behaviour, Crime and Policing Act 2014",s.4(2),Power of Arrest,"If the court attaches a power of arrest, the injunction may specify a period for which the power is to have effect which is shorter than that of the prohibition or requirement to which it relates.",,,Antisocial Behaviour and Neighbour Conflict
360,"Anti-social Behaviour, Crime and Policing Act 2014",s.5(3),Applications for Injunctions,A housing provider may make an application only if the application concerns anti-social behaviour that directly or indirectly relates to or affects its housing management functions.,,,Antisocial Behaviour and Neighbour Conflict
361,"Anti-social Behaviour, Crime and Policing Act 2014",s.6(1),Applications without notice,An application for an injunction under section 1 may be made without notice being given to the respondent.,https://www.legislation.gov.uk/ukpga/2014/12/section/6,statute,Antisocial Behaviour and Neighbour Conflict
362,"Anti-social Behaviour, Crime and Policing Act 2014",s.6(2),Applications without notice,"If an application is made without notice the court must eitherâ(a) adjourn the proceedings and grant an interim injunction (see section 7), or (b) adjourn the proceedings without granting an interim injunction, or (c) dismiss the application.",https://www.legislation.gov.uk/ukpga/2014/12/section/6,statute,Antisocial Behaviour and Neighbour Conflict
363,"Anti-social Behaviour, Crime and Policing Act 2014",s.7(1),Interim injunctions,This section applies where the court adjourns the hearing of an application (whether made with notice or without) for an injunction under section 1.,https://www.legislation.gov.uk/ukpga/2014/12/section/7,statute,Antisocial Behaviour and Neighbour Conflict
364,"Anti-social Behaviour, Crime and Policing Act 2014",s.7(2),Interim injunctions,The court may grant an injunction under that section lasting until the final hearing of the application or until further order (an âinterim injunctionâ) if the court thinks it just to do so.,https://www.legislation.gov.uk/ukpga/2014/12/section/7,statute,Antisocial Behaviour and Neighbour Conflict
365,"Anti-social Behaviour, Crime and Policing Act 2014",s.7(3),Interim injunctions,An interim injunction made at a hearing of which the respondent was not given notice may not have the effect of requiring the respondent to participate in particular activities.,https://www.legislation.gov.uk/ukpga/2014/12/section/7,statute,Antisocial Behaviour and Neighbour Conflict
366,"Anti-social Behaviour, Crime and Policing Act 2014",s.7(4),Interim injunctions,"Subject to that, the court has the same powers (including powers under section 4) whether or not the injunction is an interim injunction.",https://www.legislation.gov.uk/ukpga/2014/12/section/7,statute,Antisocial Behaviour and Neighbour Conflict
367,"Anti-social Behaviour, Crime and Policing Act 2014",s.8(1),Variation or discharge of injunction,"The court may vary or discharge an injunction under section 1 on the application ofâ(a) the person who applied for the injunction, or (b) the respondent.",https://www.legislation.gov.uk/ukpga/2014/12/section/8,statute,Antisocial Behaviour and Neighbour Conflict
368,"Anti-social Behaviour, Crime and Policing Act 2014",s.8(2),Variation or discharge of injunction,"In subsection (1) âthe courtâ meansâ(a) the court that granted the injunction, except where paragraph (b) applies; (b) the county court, where the injunction was granted by a youth court but the respondent is aged 18 or over.",https://www.legislation.gov.uk/ukpga/2014/12/section/8,statute,Antisocial Behaviour and Neighbour Conflict
369,"Anti-social Behaviour, Crime and Policing Act 2014",s.8(3),Variation or discharge of injunction,"The power to vary an injunction includes powerâ(a) to include an additional prohibition or requirement in the injunction, or to extend the period for which a prohibition or requirement has effect; (b) to attach a power of arrest, or to extend the period for which a power of arrest has effect.",https://www.legislation.gov.uk/ukpga/2014/12/section/8,statute,Antisocial Behaviour and Neighbour Conflict
370,"Anti-social Behaviour, Crime and Policing Act 2014",s.8(4),Variation or discharge of injunction,"If an application under this section is dismissed, the party by which the dismissed application was made may make no further application under this section withoutâ(a) the consent of the court, or (b) the agreement of the other party.",https://www.legislation.gov.uk/ukpga/2014/12/section/8,statute,Antisocial Behaviour and Neighbour Conflict
371,"Anti-social Behaviour, Crime and Policing Act 2014",s.8(5),Variation or discharge of injunction,Section 3 applies to additional requirements included under subsection (3)(a) above as it applies to requirements included in a new injunction.,https://www.legislation.gov.uk/ukpga/2014/12/section/8,statute,Antisocial Behaviour and Neighbour Conflict
372,"Anti-social Behaviour, Crime and Policing Act 2014",s.9(1),Arrest without warrant,"Where a power of arrest is attached to a provision of an injunction under section 1, a constable may arrest the respondent without warrant if he or she has reasonable cause to suspect that the respondent is in breach of the provision.",https://www.legislation.gov.uk/ukpga/2014/12/section/9,statute,Antisocial Behaviour and Neighbour Conflict
373,"Anti-social Behaviour, Crime and Policing Act 2014",s.9(2),Arrest without warrant,A constable who arrests a person under subsection (1) must inform the person who applied for the injunction.,https://www.legislation.gov.uk/ukpga/2014/12/section/9,statute,Antisocial Behaviour and Neighbour Conflict
374,"Anti-social Behaviour, Crime and Policing Act 2014",s.9(3),Arrest without warrant,"A person arrested under subsection (1) must, within the period of 24 hours beginning with the time of the arrest, be brought beforeâ(a) a judge of the High Court or a judge of the county court, if the injunction was granted by the High Court; (b) a judge of the county court, ifâ(i) the injunction was granted by the county court, or (ii) the injunction was granted by a youth court but the respondent is aged 18 or over; (c) a justice of the peace, if neither paragraph (a) nor paragraph (b) applies.",https://www.legislation.gov.uk/ukpga/2014/12/section/9,statute,Antisocial Behaviour and Neighbour Conflict
375,"Anti-social Behaviour, Crime and Policing Act 2014",s.9(4),Arrest without warrant,"In calculating when the period of 24 hours ends, Christmas Day, Good Friday and any Sunday are to be disregarded.",https://www.legislation.gov.uk/ukpga/2014/12/section/9,statute,Antisocial Behaviour and Neighbour Conflict
376,"Anti-social Behaviour, Crime and Policing Act 2014",s.9(5),Arrest without warrant,The judge before whom a person is brought under subsection (3)(a) or (b) may remand the person if the matter is not disposed of straight away.,https://www.legislation.gov.uk/ukpga/2014/12/section/9,statute,Antisocial Behaviour and Neighbour Conflict
377,"Anti-social Behaviour, Crime and Policing Act 2014",s.9(6),Arrest without warrant,The justice of the peace before whom a person is brought under subsection (3)(c) must remand the person to appear before the youth court that granted the injunction.,https://www.legislation.gov.uk/ukpga/2014/12/section/9,statute,Antisocial Behaviour and Neighbour Conflict
378,"Anti-social Behaviour, Crime and Policing Act 2014",s.10(1),Issue of arrest warrant,"If the person who applied for an injunction under section 1 thinks that the respondent is in breach of any of its provisions, the person may apply for the issue of a warrant for the respondent's arrest.",https://www.legislation.gov.uk/ukpga/2014/12/section/10,statute,Antisocial Behaviour and Neighbour Conflict
379,"Anti-social Behaviour, Crime and Policing Act 2014",s.10(2),Issue of arrest warrant,"The application must be made toâ(a) a judge of the High Court, if the injunction was granted by the High Court; (b) a judge of the county court, ifâ(i) the injunction was granted by the county court, or (ii) the injunction was granted by a youth court but the respondent is aged 18 or over; (c) a justice of the peace, if neither paragraph (a) nor paragraph (b) applies.",https://www.legislation.gov.uk/ukpga/2014/12/section/10,statute,Antisocial Behaviour and Neighbour Conflict
380,"Anti-social Behaviour, Crime and Policing Act 2014",s.10(3),Issue of arrest warrant,A judge or justice may issue a warrant under this section only if the judge or justice has reasonable grounds for believing that the respondent is in breach of a provision of the injunction.,https://www.legislation.gov.uk/ukpga/2014/12/section/10,statute,Antisocial Behaviour and Neighbour Conflict
381,"Anti-social Behaviour, Crime and Policing Act 2014",s.10(4),Issue of arrest warrant,A warrant issued by a judge of the High Court must require the respondent to be brought before that court.,https://www.legislation.gov.uk/ukpga/2014/12/section/10,statute,Antisocial Behaviour and Neighbour Conflict
382,"Anti-social Behaviour, Crime and Policing Act 2014",s.10(5),Issue of arrest warrant,A warrant issued by a judge of the county court must require the respondent to be brought before that court.,https://www.legislation.gov.uk/ukpga/2014/12/section/10,statute,Antisocial Behaviour and Neighbour Conflict
383,"Anti-social Behaviour, Crime and Policing Act 2014",s.10(6),Issue of arrest warrant,"A warrant issued by a justice of the peace must require the respondent to be brought beforeâ(a) the youth court that granted the injunction, if the person is aged under 18; (b) the county court, if the person is aged 18 or over.",https://www.legislation.gov.uk/ukpga/2014/12/section/10,statute,Antisocial Behaviour and Neighbour Conflict
384,"Anti-social Behaviour, Crime and Policing Act 2014",s.10(7),Issue of arrest warrant,A constable who arrests a person under a warrant issued under this section must inform the person who applied for the injunction.,https://www.legislation.gov.uk/ukpga/2014/12/section/10,statute,Antisocial Behaviour and Neighbour Conflict
385,"Anti-social Behaviour, Crime and Policing Act 2014",s.10(8),Issue of arrest warrant,"If the respondent is brought before a court by virtue of a warrant under this section but the matter is not disposed of straight away, the court may remand the respondent.",https://www.legislation.gov.uk/ukpga/2014/12/section/10,statute,Antisocial Behaviour and Neighbour Conflict
386,"Anti-social Behaviour, Crime and Policing Act 2014",s.13(1),Power to exclude person from home in cases of violence or risk of harm,"An injunction under section 1 may have the effect of excluding the respondent from the place where he or she normally lives (âthe premisesâ) only ifâ(a) the respondent is aged 18 or over, (b) the injunction is granted on the application ofâ(i) a local authority, (ii) the chief officer of police for the police area that the premises are in, or (iii) if the premises are owned or managed by a housing provider, that housing provider, and (c) the court thinks thatâ(i) the anti-social behaviour in which the respondent has engaged or threatens to engage consists of or includes the use or threatened use of violence against other persons, or (ii) there is a significant risk of harm to other persons from the respondent.",https://www.legislation.gov.uk/ukpga/2014/12/section/13,statute,Antisocial Behaviour and Neighbour Conflict
387,"Anti-social Behaviour, Crime and Policing Act 2014",s.13(2),Power to exclude person from home in cases of violence or risk of harm,"For the purposes of this section a housing provider owns a place ifâ(a) the housing provider is a person (other than a mortgagee not in possession) entitled to dispose of the fee simple of the place, whether in possession or in reversion, or (b) the housing provider is a person who holds or is entitled to the rents and profits of the place under a lease that (when granted) was for a term of not less than 3 years.",https://www.legislation.gov.uk/ukpga/2014/12/section/13,statute,Antisocial Behaviour and Neighbour Conflict
